"seller_state","media_score","seller","set_2017","out_2017","nov_2017","dez_2017","jan_2018","fev_2018","mar_2018","abr_2018","mai_2018","jun_2018","jul_2018","ago_2018"
"SP",4.27,"fa1c13f2614d7b5c4749cbc52fecda94",23,35,53,69,42,33,42,40,36,41,38,33
"SP",4.22,"4d6d651bd7684af3fffabd5f08d12e5a",17,14,28,25,42,43,59,29,18,17,30,17
"MG",4.21,"a1043bafd471dff536d0c462352beb48",26,51,93,82,83,70,69,79,42,56,29,29
"SP",4.17,"7a67c85e85bb2ce8582c35f2203ad736",62,75,67,49,66,80,57,52,66,24,25,19
"RJ",4.16,"620c87c171fb2a6dd6e8bb4dec959fc6",16,12,67,60,68,79,67,27,40,51,32,39
"SP",4.14,"e9779976487b77c6d4ac45f75ec7afe9",28,43,26,43,70,74,53,31,75,58,59,75
"SP",4.11,"53e4c6e0f4312d4d2107a8c9cddf45cd",41,14,36,32,44,55,31,35,22,26,29,26
"SP",4.1,"4869f7a5dfa277a7dca6462dcf3b52b2",79,65,88,83,73,88,120,123,104,99,53,89
"SP",4.09,"da8622b14eb17ae2831f4ac5b9dab84a",75,72,125,164,189,118,120,145,129,86,77,66
"SP",4.07,"3d871de0142ce09b7081e2b9d1733cb1",77,77,126,153,216,39,54,56,44,39,34,29
"SP",4.05,"955fee9216a65b617aa5c0531780ce60",28,20,63,77,257,101,168,231,275,118,68,75
"SP",4.03,"cc419e0650a3c5ba77189a1882b7556a",161,152,210,205,117,103,113,62,55,38,38,26
"SP",3.97,"1da3aeb70d7989d1e6d9b0e887f97c23",26,25,23,17,18,26,16,29,21,21,24,20
"SP",3.96,"ea8482cd71df3c1969d7b9473ff13abc",23,31,143,155,179,156,172,105,77,86,53,41
"SP",3.93,"1f50f920176fa81dab994f9023523100",135,161,366,180,120,191,129,138,171,56,51,51
"SP",3.91,"391fc6631aebcf3004804e51b40bcf1e",26,23,65,27,49,42,42,39,37,20,20,25
"SP",3.89,"6560211a19b47992c3666cc44a7e94c0",115,116,191,134,126,87,84,102,119,180,212,219
"SP",3.83,"1025f0e2d44d7041d6cf58b6550e0bfa",91,76,173,33,91,42,150,135,193,121,150,151
"SP",3.78,"1900267e848ceeba8fa32d80c1a5f5a8",19,29,45,18,51,51,47,40,41,46,39,38
"SP",3.74,"4a3ca9315b744ce9f8e9374361493884",122,131,201,99,115,130,130,97,104,91,85,54
"SP",3.6,"1835b56ce799e6a4dc4eddc053f04066",36,37,68,35,66,62,46,55,39,37,43,46
"SP",3.52,"7040e82f899a04d1b434b795a43b4617",10,33,31,27,21,12,12,16,20,15,15,31
"SP",3.44,"d2374cbcbb3ca4ab1086534108cc3ab7",30,55,43,15,41,25,47,45,17,34,37,30
"SP",3.26,"7c67e1448b00f6e969d365cea6b010ab",98,90,85,44,138,74,210,116,86,42,51,13
